iter	Passed	Remaining
894	1563	183
895	1565	181
896	1568	180
897	1569	178
898	1571	176
899	1572	174
900	1574	172
901	1575	171
902	1578	169
903	1580	167
904	1582	166
905	1583	164
906	1584	162
907	1585	160
908	1587	158
909	1589	157
910	1591	155
911	1593	153
912	1594	151
913	1596	150
914	1598	148
915	1599	146
916	1601	144
917	1602	143
918	1604	141
919	1606	139
920	1608	137
921	1610	136
922	1611	134
923	1613	132
924	1614	130
925	1615	129
926	1617	127
927	1618	125
928	1621	123
929	1623	122
930	1624	120
931	1626	118
932	1628	116
933	1629	115
934	1631	113
935	1632	111
936	1635	109
937	1637	108
938	1640	106
939	1641	104
940	1643	103
941	1645	101
942	1651	99
943	1653	98
944	1655	96
945	1657	94
946	1658	92
947	1660	91
948	1663	89
949	1665	87
950	1667	85
951	1669	84
952	1670	82
953	1671	80
954	1673	78
955	1675	77
956	1678	75
957	1681	73
958	1683	71
959	1684	70
960	1686	68
961	1688	66
962	1690	64
963	1692	63
964	1695	61
965	1697	59
966	1698	57
967	1700	56
968	1702	54
969	1704	52
970	1706	50
971	1710	49
972	1712	47
973	1713	45
974	1715	43
975	1716	42
976	1718	40
977	1719	38
978	1721	36
979	1723	35
980	1725	33
981	1726	31
982	1728	29
983	1730	28
984	1731	26
985	1733	24
986	1735	22
987	1737	21
988	1739	19
989	1741	17
990	1743	15
991	1744	14
992	1746	12
993	1747	10
994	1750	8
995	1752	7
996	1753	5
997	1755	3
998	1756	1
999	1757	0
